CustomerID,Recency,Frequency,Monetary,AOV,UniqueProducts,Lifespan,AvgDaysBetweenOrders,CLTV,CLTV_Tier,Churned,Log_Recency,Log_Frequency,Log_Monetary,Log_AOV,Log_CLTV,F_Score,M_Score,R_Score,RFM_Score,RFM_Label,Segment,Churn Probability,Churn_Probability,Churn_Risk,Cluster,Cluster_Name,Churn_Risk_Num,CLTV_norm,Quadrant
12347,2,7,3783.23,21.495625,101,365,60.833333333333336,300.93875,High,0,1.0986122886681098,2.079441541679836,8.238597710565617,3.113320845859158,5.710224182235677,5,5,5,15,555,Champion,0.047957167,0.047957167,Low,0,Mid Value,0.15,0.19951287926126332,Nurture
12348,249,3,90.2,15.033333333333331,6,109,54.5,58.56821917808218,Mid,1,5.521460917862246,1.3862943611198906,4.513054897080286,2.7746698884436056,4.087122196583741,3,1,1,5,131,Hibernating,0.49851128,0.49851128,Medium,1,Low Value,0.5,0.03882887810700322,Nurture
12349,19,1,1328.55,19.5375,68,0,0.0,19.5375,Low,0,2.995732273553991,0.6931471805599453,7.192595818099261,3.022252483363386,3.022252483363386,1,4,4,9,414,New Customer,0.39531717,0.39531717,Medium,1,Low Value,0.5,0.012952744964106257,Nurture
12350,310,1,294.40000000000003,18.4,16,0,0.0,18.4,Low,1,5.739792912179234,0.6931471805599453,5.68833037009728,2.9652730660692828,2.9652730660692828,1,2,1,4,112,Lost,0.5481922,0.5481922,Medium,1,Low Value,0.5,0.012198618417891495,Nurture
12352,36,7,1321.99,17.626533333333334,56,260,43.333333333333336,211.27694063926944,High,0,3.610917912644224,2.079441541679836,7.187649605507402,2.924587087498897,5.357891745943601,5,4,3,12,354,Needs Attention,0.11613013,0.11613013,Low,0,Mid Value,0.15,0.14006993366075873,Nurture
12353,204,1,89.0,22.25,4,0,0.0,22.25,Mid,1,5.3230099791384085,0.6931471805599453,4.499809670330265,3.146305132033365,3.146305132033365,1,1,1,3,111,Lost,0.58060163,0.58060163,Medium,1,Low Value,0.5,0.014751046728156837,Nurture
12354,232,1,1013.6,18.77037037037037,54,0,0.0,18.77037037037037,Low,1,5.4510384535657,0.6931471805599453,6.922249725132589,2.9841843709660947,2.9841843709660947,1,4,1,6,114,Lost,0.39755794,0.39755794,Medium,1,Low Value,0.5,0.01244416226688287,Nurture
12355,214,1,238.9,23.89,10,0,0.0,23.89,Mid,1,5.3706380281276624,0.6931471805599453,5.480222169845649,3.2144661163795005,3.2144661163795005,1,2,1,4,112,Lost,0.5594973,0.5594973,Medium,1,Low Value,0.5,0.015838314891490644,Nurture
12356,23,3,1778.89,41.36953488372093,41,302,151.0,226.7957241159605,High,0,3.1780538303479458,1.3862943611198906,7.484306843623762,3.74642958708756,5.428449280494338,3,5,4,12,435,Loyal Customer,0.047957167,0.047957167,Low,0,Mid Value,0.15,0.150358396592391,Nurture
12357,33,1,4817.2300000000005,41.88895652173913,115,0,0.0,41.88895652173913,Mid,0,3.5263605246161616,0.6931471805599453,8.480161919685889,3.7586143690591096,3.7586143690591096,1,5,4,10,415,New Customer,0.3534508,0.3534508,Medium,1,Low Value,0.5,0.027771054159366475,Nurture
12358,2,2,928.06,54.59176470588236,12,149,149.0,153.7543400483481,High,0,1.0986122886681098,1.0986122886681098,6.834173322304168,4.018035073485483,5.041838956718112,2,4,5,11,524,New Customer,0.4087144,0.4087144,Medium,1,Low Value,0.5,0.10193426762742018,Nurture
12359,58,4,4238.53,19.09247747747748,197,274,91.33333333333331,133.69965049981488,High,0,4.07753744390572,1.6094379124341005,8.35220769302519,3.0003454901623376,4.90304748875679,4,5,3,12,345,Needs Attention,0.09459151,0.09459151,Low,0,Mid Value,0.15,0.08863864233982054,Nurture
12360,52,3,1931.26,15.960826446280992,101,148,74.0,67.29784082418205,Mid,0,3.970291913552122,1.3862943611198906,7.566445581287342,2.830906358320457,4.223878152961111,3,5,3,11,335,Needs Attention,0.26008466,0.26008466,Low,0,Mid Value,0.15,0.044616341334902034,Nurture
12361,287,1,174.9,19.433333333333334,9,0,0.0,19.433333333333334,Low,1,5.662960480135946,0.6931471805599453,5.169915651743512,3.017167554274056,3.017167554274056,1,1,1,3,111,Lost,0.57617664,0.57617664,Medium,1,Low Value,0.5,0.012883685756577432,Nurture
12362,3,10,4512.03,18.26732793522267,192,292,32.44444444444444,328.8119028340081,High,0,1.3862943611198906,2.3978952727983707,8.414724047267791,2.9584108083186096,5.798522500541569,5,5,5,15,555,Champion,0.047957167,0.047957167,Low,0,Mid Value,0.15,0.21799189858330872,Nurture
12363,110,2,552.0,24.0,23,132,132.0,65.35890410958905,Mid,1,4.709530201312334,1.0986122886681098,6.315358001522335,3.218875824868201,4.195077950863835,2,3,2,7,223,Hibernating,0.45792854,0.45792854,Medium,1,Low Value,0.5,0.04333088757850202,Nurture
